A,B,C,D
446,892,446,630
67,978,331,211
692,1384,692,965
1694,92,1548,930
378,978,1066,510
163,371,1112,604
344,1102,9,209
1014,1797,1532,451
483,1749,343,1022
582,582,582,472
737,239,995,10
1680,1682,287,174
485,485,485,1364
1158,1158,1158,328
54,2000,1407,747
1563,1563,1563,902
1173,1745,39,712
213,1894,13,1767
1557,1557,1557,1900
136,272,136,1101
855,363,1876,1157
900,1675,1823,1010
1608,901,257,1994
268,1574,1322,1663
314,630,1069,1653
1254,835,1020,1182
1280,1137,1028,1516
985,879,1491,1365
214,214,214,673
164,540,1466,1200
955,1796,1955,1739
831,1219,732,1240
586,1172,586,457
169,1849,1222,1889
563,628,1333,898
1860,780,1598,1209
1267,26,1375,1358
1120,1789,383,840
1369,1073,57,1244
1185,488,1943,1337
1433,717,905,672
1056,1727,1627,408
844,844,1688,905
108,1456,1487,1472
1714,1714,1714,1221
569,1017,787,440
940,940,1880,203
1162,469,381,59
805,31,101,912
917,1895,858,1719
1661,1523,1530,481
140,280,140,961
698,1989,1984,94
1110,555,555,90
1841,898,1797,193
1610,485,1155,193
1783,1772,158,1431
439,739,470,892
1895,1675,1185,372
138,1346,218,1786
408,215,311,1273
1515,1784,115,922
1126,1126,1126,1907
207,414,207,1058
145,927,178,494
178,356,178,1738
1110,555,555,364
796,398,398,364
570,570,570,328
1189,1879,1412,354
1510,1916,1441,772
644,15,942,688
895,1299,1956,1978
1045,400,1291,1030
1026,961,278,1554
1855,392,460,1653
1158,579,579,265
1010,274,107,1747
1179,1179,1179,443
1860,1748,1366,148
283,1432,1116,319
1745,1745,1745,665
197,394,197,1538
462,924,462,1858
1296,1679,1253,1728
1072,301,1476,1746
429,1168,658,300
687,687,1374,979
73,146,73,195
1910,1798,1470,954
65,130,65,1770
544,1088,544,1229
1581,702,1084,1341
702,466,485,1676
1663,1991,1458,1477
701,701,1402,1689
101,202,101,854
719,719,1438,894
1136,343,366,1310
1366,1632,621,1709
855,652,1995,971
844,1688,844,1531
686,1372,686,1628
256,350,1961,690
1866,1866,1866,784
126,1694,619,1757
1578,1578,1578,1163
926,463,463,378
1961,1096,1136,145
1289,1289,1289,223
783,783,783,560
192,16,1238,1716
26,1145,1976,1802
951,1890,834,1334
1875,1156,83,281
1554,188,1254,296
1754,1679,1929,1826
1268,1059,1032,1645
1371,1371,1371,1038
176,422,1858,1736
428,856,428,1639
1729,1456,800,981
1719,187,1453,355
1150,575,575,1588
344,1571,1206,1421
368,368,736,1734
817,930,1632,571
1264,726,1020,1084
1792,896,896,1672
1495,492,247,1911
470,940,470,1407
904,1507,444,64
641,641,641,636
709,649,1753,1230
953,1673,1394,508
1882,1882,1882,254
1292,1034,241,1447
1134,567,567,1679
1008,838,235,348
766,564,386,961
1195,1316,67,1770
81,1899,1754,589
757,865,1123,1963
1733,1896,1603,694
1697,693,1969,1375
115,115,230,1774
1444,1913,1269,1953
1590,238,120,1604
181,181,362,1834
877,877,1754,1778
1137,1137,1137,872
1053,1814,1669,31
1654,775,1363,933
36,72,36,210
1019,533,599,549
1763,552,1142,1816
1157,217,989,365
603,603,1206,1845
1200,1200,1200,1258
1562,1812,794,1422
1645,245,766,576
453,453,906,1658
149,149,298,648
475,1384,1260,1288
311,202,597,1501
1978,951,796,8
197,197,394,1555
104,104,104,67
78,39,39,1727
502,1405,433,1182
1858,1858,1858,1804
376,982,755,1321
510,1020,510,1519
122,244,122,1421
1541,352,1071,1901
482,482,964,1064
1526,763,763,1708
715,1430,715,1945
1158,1207,1199,1955
1315,678,805,1202
1018,1018,1018,1137
891,1782,891,523
448,1920,802,1170
40,224,398,775
1963,1502,518,1153
59,1747,1078,1693
1867,496,315,1512
1416,708,708,700
670,670,1340,1982
854,1708,854,1489
52,868,1860,663
1970,301,1888,968
1782,1193,1679,1080
1678,815,144,1540
1571,1681,959,404
1700,1958,1418,150
1677,478,1785,700
626,626,1252,1840
224,1566,294,1809
553,553,1106,485
790,1580,790,1075
812,1959,1687,16
1755,401,1749,898
1128,1241,434,1416
1946,153,528,347
550,1100,550,504
871,871,871,568
1549,198,812,1745
1008,504,504,433
1208,604,604,570
480,724,899,847
195,195,390,163
969,1873,1686,983
444,888,444,453
613,613,1226,882
659,381,1249,179
756,1640,739,395
543,1086,543,532
76,1001,1752,1847
907,1590,1614,1274
972,972,1944,889
680,475,445,119
817,1634,817,224
168,84,84,388
906,955,801,8
1752,876,876,634
1193,234,99,1831
1499,1499,1499,740
415,415,415,926
1776,294,1142,51
161,322,161,808
1418,1961,519,1820
1920,960,960,370
860,1822,1137,746
401,401,401,484
270,1324,1835,93
1186,286,796,1605
653,1306,653,320
1255,1495,1332,1654
797,797,1594,1562
1444,722,722,1152
1503,996,183,1712
705,1410,705,1545
252,252,504,12
769,769,1538,830
1668,834,834,545
808,404,404,1914
316,316,632,59
848,1906,1829,947
573,346,1633,1384
580,290,290,739
119,238,119,582
402,804,402,1325
825,1751,7,531
794,1683,1002,1517
1809,284,1820,40
1045,93,578,1397
380,1071,971,781
454,1795,1616,1909
1793,821,1810,933
32,1445,806,1044
1055,414,1809,1050
714,714,1428,592
355,710,355,1584
